index,name,url,entries
0,beads,http://museumsofindia.gov.in/repository/search/alh_ald/collection/object_type/beads/0/1/21908,21898
1,manuscript,http://museumsofindia.gov.in/repository/search/alh_ald/collection/object_type/manuscript/0/1/5848,5838
2,terracotta,http://museumsofindia.gov.in/repository/search/alh_ald/collection/object_type/terracotta/0/1/5469,5459
3,miniature painting,http://museumsofindia.gov.in/repository/search/alh_ald/collection/object_type/miniature painting/0/1/1650,1640
4,sculpture,http://museumsofindia.gov.in/repository/search/alh_ald/collection/object_type/sculpture/0/1/1316,1306
5,nehru collection,http://museumsofindia.gov.in/repository/search/alh_ald/collection/object_type/nehru collection/0/1/898,888
6,textile,http://museumsofindia.gov.in/repository/search/alh_ald/collection/object_type/textile/0/1/713,703
7,archival,http://museumsofindia.gov.in/repository/search/alh_ald/collection/object_type/archival/0/1/639,629
8,decorative art,http://museumsofindia.gov.in/repository/search/alh_ald/collection/object_type/decorative art/0/1/604,594
9,farman,http://museumsofindia.gov.in/repository/search/alh_ald/collection/object_type/farman/0/1/530,520
10,modern painting,http://museumsofindia.gov.in/repository/search/alh_ald/collection/object_type/modern painting/0/1/439,429
11,seals and sealings,http://museumsofindia.gov.in/repository/search/alh_ald/collection/object_type/seals and sealings/0/1/423,413
12,coin,http://museumsofindia.gov.in/repository/search/alh_ald/collection/object_type/coin/0/1/4278,4268
13,miniature paintings,http://museumsofindia.gov.in/repository/search/alh_ald/collection/object_type/miniature paintings/0/1/402,392
14,archaeological collection,http://museumsofindia.gov.in/repository/search/alh_ald/collection/object_type/archaeological collection/0/1/277,267
15,arms,http://museumsofindia.gov.in/repository/search/alh_ald/collection/object_type/arms/0/1/217,207
16,thangaka,http://museumsofindia.gov.in/repository/search/alh_ald/collection/object_type/thangaka/0/1/148,138
17,jewelry,http://museumsofindia.gov.in/repository/search/alh_ald/collection/object_type/jewelry/0/1/112,102
18,literary,http://museumsofindia.gov.in/repository/search/alh_ald/collection/object_type/literary/0/1/94,84
19,bead,http://museumsofindia.gov.in/repository/search/alh_ald/collection/object_type/bead/0/1/90,80
20,bronze collection,http://museumsofindia.gov.in/repository/search/alh_ald/collection/object_type/bronze collection/0/1/82,72
21,wood work,http://museumsofindia.gov.in/repository/search/alh_ald/collection/object_type/wood work/0/1/15,5
22,freedom struggle,http://museumsofindia.gov.in/repository/search/alh_ald/collection/object_type/freedom struggle/0/1/12,2
